gender,parental_education_level,extracurricular_participation,part_time_job,diet_quality,exercise_frequency_group,attendance_percentage_group,study_hours_per_day_group,sleep_hours_group,count_of_students,avg_exam_score,avg_exercise_frequency,avg_attendance_percentage,avg_study_hours,avg_sleep_hours
Female,"High School",Yes,No,Fair,2-4,"> 86",2-4,5-8,1,58.6,4.00,86.1,3.2,7.7
Male,"High School",Yes,Yes,Fair,2-4,76-86,2-4,5-8,1,61.5,4.00,83.2,3.1,5.9
Female,None,No,No,Good,0-2,"> 86",4-6,0-5,1,71.4,1.00,89,5.9,4.9
Female,"High School",No,No,Poor,0-2,"> 86",4-6,0-5,1,85.9,1.00,90,4.6,4.5
Female,Bachelor,No,No,Fair,0-2,"> 86",4-6,5-8,2,71.6,2.00,90.95,4.7,6.05
Female,"High School",No,Yes,Good,0-2,76-86,4-6,5-8,2,75.35,2.00,82.35,4.75,5.25
Male,None,No,Yes,Fair,0-2,76-86,2-4,5-8,1,79.7,1.00,79.9,3.8,6.2
Male,"High School",No,Yes,Good,"> 4",66-76,0-2,"> 8",1,47.1,6.00,73,1.6,8.1
Male,Bachelor,No,No,Fair,"> 4","> 86",4-6,5-8,2,93.7,5.50,93.55,4.5,7.95
Female,None,Yes,Yes,Poor,0-2,76-86,2-4,5-8,1,60.6,0.00,85.1,2.5,6.5
Male,"High School",Yes,No,Good,"> 4",66-76,4-6,"> 8",1,84.2,6.00,75.7,4.4,8.8
Female,"High School",Yes,No,Good,0-2,66-76,2-4,5-8,1,73.5,1.00,74.3,3.5,6.1
Male,None,No,No,Fair,0-2,76-86,2-4,0-5,1,75.9,2.00,80.7,4,4.8
Female,Bachelor,No,No,Poor,0-2,"> 86","> 6",5-8,1,100,1.00,89.2,6.1,7
Female,Master,Yes,Yes,Good,2-4,"> 86",2-4,5-8,1,74.2,4.00,91,3.9,7.5
Female,Bachelor,Yes,No,Fair,"> 4","> 86","> 6",5-8,1,100,5.00,94.6,7.4,5.7
Male,"High School",No,No,Fair,"> 4","> 86",4-6,5-8,2,97.45,6.00,94.85,5.15,6.15
Female,"High School",No,No,Good,"> 4","> 86",0-2,5-8,3,51.87,5.67,93.4,1.63,5.97
Female,"High School",No,No,Fair,"> 4",66-76,4-6,5-8,2,81.85,5.50,73.75,4.35,5.9
Female,Master,No,No,Good,0-2,76-86,4-6,0-5,1,60.1,2.00,82.4,4.1,3.5
Female,"High School",Yes,No,Poor,2-4,"> 86",4-6,5-8,1,91.3,3.00,88.1,5.4,6.2
Female,Bachelor,No,No,Fair,2-4,"> 86",4-6,5-8,2,89.15,3.50,100,4.45,6.6
Female,"High School",Yes,No,Poor,"> 4",66-76,2-4,5-8,1,61.6,6.00,71,3.3,5.7
Male,"High School",No,Yes,Good,2-4,"> 86",0-2,5-8,1,41.7,3.00,97,1.7,6.6
Female,None,No,No,Good,"> 4","> 86",2-4,5-8,1,63.7,6.00,93.4,2.2,6.9
Male,Bachelor,No,No,Good,0-2,76-86,2-4,5-8,1,39.6,0.00,84,2.6,6.2
Female,"High School",Yes,No,Fair,0-2,76-86,4-6,5-8,1,87.5,2.00,76.6,4.4,5.4
Female,Bachelor,No,No,Fair,"> 4","> 86",4-6,"> 8",1,100,5.00,92.5,6,8.1
Female,None,No,Yes,Fair,0-2,"> 86",4-6,5-8,1,75.4,2.00,91.5,4.1,7.6
Male,Master,Yes,No,Fair,"> 4","> 86",0-2,5-8,1,61.5,6.00,94.7,1.7,5.8
Male,"High School",Yes,No,Fair,"> 4",76-86,4-6,5-8,2,70.3,5.00,82.15,4.25,6.7
Other,Master,No,No,Good,"> 4",76-86,4-6,5-8,1,96.3,6.00,79,5.3,7.1
Female,Bachelor,No,Yes,Good,"> 4",66-76,2-4,5-8,1,67,5.00,69.4,2.6,7.3
Male,Master,No,No,Good,"> 4","> 86",2-4,0-5,1,70.1,6.00,93.2,3.3,4.5
Female,Bachelor,Yes,No,Good,0-2,66-76,2-4,5-8,2,63.05,1.00,72.7,3,6.25
Female,"High School",No,No,Fair,"> 4",76-86,4-6,5-8,3,92.27,5.67,81.77,4.77,6.2
Female,"High School",No,Yes,Good,0-2,76-86,2-4,"> 8",1,76.1,0.00,80.3,3.3,9.7
Male,"High School",Yes,No,Good,0-2,66-76,4-6,5-8,1,80.4,1.00,70.2,4.1,6.9
Male,"High School",No,No,Fair,"> 4",76-86,2-4,5-8,1,64.1,6.00,76.8,2.2,6
Male,Master,Yes,No,Good,2-4,66-76,2-4,0-5,1,59.4,4.00,73.7,2.8,3.9
Female,None,Yes,No,Fair,"> 4",76-86,4-6,"> 8",1,94.2,5.00,80.9,4.6,8.2
Male,Bachelor,Yes,Yes,Good,2-4,76-86,2-4,0-5,1,67.8,3.00,77.6,2.9,4.9
Male,Bachelor,No,No,Good,0-2,66-76,"> 6",5-8,1,96.1,0.00,68.7,6.1,5.3
Male,Bachelor,No,No,Good,0-2,"> 86",2-4,5-8,2,73.3,1.00,94.6,3.15,6.25
Female,Bachelor,No,No,Fair,"> 4","> 86",2-4,"> 8",1,84.2,5.00,97.5,3.8,8.2
Female,"High School",No,No,Good,0-2,76-86,4-6,5-8,2,75.35,1.00,80.6,4.55,7
Male,Bachelor,No,No,Fair,0-2,"> 86",0-2,5-8,1,41.7,1.00,87.7,1.4,6.3
Female,Master,No,Yes,Good,2-4,"> 86",0-2,5-8,1,50.3,4.00,96.9,1.2,5.8
Male,Bachelor,No,No,Fair,2-4,76-86,4-6,5-8,2,100,4.00,77.15,5.5,6.9
Male,Master,No,No,Good,"> 4","> 86",2-4,5-8,2,55.45,6.00,94.9,2.5,6.4
Male,None,Yes,No,Fair,"> 4",76-86,"> 6",5-8,1,100,6.00,79.5,7.3,7.7
Male,"High School",No,No,Fair,2-4,66-76,2-4,5-8,1,71.2,3.00,71.6,2.7,7.7
Female,None,No,No,Fair,2-4,"> 86",4-6,5-8,2,89.2,3.50,98.95,5,6.05
Male,"High School",Yes,No,Poor,"> 4","> 86","> 6",5-8,1,100,5.00,100,6.5,7.4
Female,Bachelor,Yes,No,Good,0-2,66-76,"> 6",5-8,1,100,2.00,73,6.6,6.4
Female,Bachelor,Yes,Yes,Good,0-2,76-86,4-6,5-8,1,67.7,2.00,80.9,5,6
Female,Master,Yes,No,Fair,"> 4","> 86",4-6,5-8,1,77.9,6.00,92.8,4.4,6.6
Male,Bachelor,No,Yes,Fair,"> 4",66-76,4-6,5-8,1,80.3,5.00,70.3,4.7,7.6
Male,"High School",No,No,Fair,"> 4",76-86,2-4,0-5,1,54.7,5.00,77.2,2.3,5
Other,"High School",No,No,Fair,0-2,76-86,2-4,5-8,2,73.25,0.50,81.1,3.65,7.2
Male,"High School",Yes,Yes,Poor,2-4,"> 86",4-6,5-8,1,73.7,3.00,95.3,4.5,7.6
Other,Master,No,No,Fair,0-2,"> 86",4-6,5-8,1,77,0.00,91,4.9,7.7
Female,Bachelor,No,No,Poor,0-2,"> 86",2-4,5-8,2,61.8,1.50,99.25,3.3,5.6
Female,Bachelor,No,No,Poor,"> 4","> 86",4-6,5-8,2,93.95,5.50,94.6,4.9,6.55
Male,"High School",No,No,Good,2-4,66-76,0-2,5-8,1,54,3.00,72.8,1.8,5.3
Male,Bachelor,Yes,No,Good,"> 4",76-86,2-4,"> 8",1,47,5.00,78.9,2.4,8.2
Male,"High School",No,Yes,Good,0-2,"> 86",2-4,"> 8",1,81.1,2.00,89.6,3.3,8.3
Male,Bachelor,No,No,Fair,0-2,66-76,4-6,5-8,1,81.9,2.00,75.8,4.4,7
Male,Bachelor,Yes,No,Good,"> 4",76-86,"> 6",5-8,1,100,5.00,83.3,6.3,7.3
Female,"High School",No,Yes,Good,2-4,76-86,4-6,5-8,1,81,4.00,85.8,5.3,5.4
Male,Bachelor,Yes,No,Poor,2-4,"> 86",4-6,5-8,2,78,4.00,89.35,4.45,6.45
Female,Master,No,No,Fair,"> 4","> 86",2-4,5-8,2,74.4,5.50,91.95,3.45,6.2
Male,Master,No,No,Fair,"> 4","> 86",2-4,5-8,2,67.35,5.50,92.3,2.95,5.65
Male,"High School",No,No,Fair,0-2,76-86,2-4,5-8,2,55.05,1.00,82.55,3.2,6.95
Female,None,No,Yes,Good,0-2,76-86,4-6,0-5,1,76,1.00,81.9,5.1,4.8
Male,"High School",Yes,No,Poor,0-2,"> 86","> 6",5-8,1,94.8,2.00,93.6,6.3,7.7
Male,Bachelor,No,No,Poor,"> 4","> 86",4-6,5-8,1,99.3,6.00,90.5,5.8,7.9
Female,Bachelor,No,Yes,Fair,2-4,76-86,2-4,0-5,1,71,3.00,82.4,2.8,4.2
Female,Bachelor,No,Yes,Poor,"> 4","> 86",0-2,5-8,1,70.9,6.00,95.8,1.8,7.7
Male,"High School",Yes,Yes,Fair,0-2,76-86,2-4,5-8,1,59.8,1.00,83.7,3.7,5.5
Male,Bachelor,No,Yes,Good,0-2,76-86,0-2,5-8,1,36,2.00,76.5,0.8,7.5
Female,"High School",No,No,Fair,"> 4",76-86,2-4,5-8,1,68.4,6.00,77.4,4,6.4
Male,Bachelor,Yes,No,Poor,0-2,66-76,2-4,5-8,1,72.9,0.00,75.2,3.3,6.5
Male,"High School",No,Yes,Fair,2-4,76-86,2-4,5-8,1,57.3,4.00,82.3,2.8,6.3
Male,Bachelor,Yes,Yes,Fair,"> 4","> 86",0-2,5-8,1,50.3,6.00,97.3,1.1,8
Female,None,No,No,Poor,2-4,76-86,4-6,0-5,1,65.7,3.00,76.9,4.3,5
Female,"High School",Yes,No,Good,0-2,"> 86",2-4,5-8,3,70.93,2.00,88.43,3.03,6.5
Male,Bachelor,No,No,Good,"> 4",76-86,0-2,5-8,1,63.6,6.00,78.4,1.7,7.8
Male,"High School",No,No,Good,"> 4",76-86,0-2,5-8,1,32.9,5.00,82.4,0,7.4
Male,Bachelor,No,No,Good,0-2,66-76,2-4,"> 8",1,67.7,0.00,69.9,3.5,9.3
Female,Bachelor,No,No,Poor,2-4,76-86,"> 6",5-8,1,100,4.00,82.8,6.2,5.9
Male,Bachelor,No,Yes,Good,0-2,76-86,4-6,5-8,1,96.8,0.00,83.1,6,7.6
Male,"High School",Yes,No,Good,0-2,"> 86",2-4,5-8,1,71,2.00,90.4,2.8,6.4
Male,Bachelor,No,No,Poor,2-4,66-76,4-6,5-8,1,64.2,4.00,73,4.2,6.5
Female,"High School",No,No,Good,0-2,"> 86",0-2,5-8,1,45.2,0.00,95.8,2,6
Male,Bachelor,Yes,No,Good,0-2,"> 86",2-4,"> 8",1,82.9,1.00,87.1,4,8.1
Male,"High School",Yes,No,Good,2-4,"> 86",4-6,5-8,1,73.2,3.00,87,4.6,5.9
Male,"High School",No,No,Poor,0-2,76-86,4-6,0-5,2,73.55,2.00,84.1,4.8,4.55
Female,"High School",No,Yes,Good,0-2,76-86,2-4,5-8,1,73,2.00,79.8,3.3,5.9
Female,None,No,Yes,Good,2-4,"> 86",2-4,5-8,1,72.6,4.00,87.2,3.2,7.2
Female,"High School",No,No,Good,0-2,"> 86",2-4,"> 8",1,45.2,0.00,89.8,2.2,8.2
Male,Bachelor,No,No,Fair,2-4,66-76,2-4,5-8,2,64.9,3.50,70.2,2.85,7.25
Female,Bachelor,No,No,Good,"> 4",76-86,2-4,"> 8",2,93,5.00,78.15,3.25,8.4
Male,"High School",No,No,Fair,2-4,76-86,4-6,0-5,1,77.8,4.00,82.5,4.1,4.9
Male,Master,No,Yes,Fair,"> 4","> 86",4-6,5-8,1,97.2,5.00,87.6,4.9,6
Female,Bachelor,Yes,Yes,Fair,2-4,"> 86",2-4,5-8,1,71.9,4.00,96.9,2.3,6.2
Male,Master,Yes,No,Good,0-2,76-86,4-6,5-8,1,69.1,0.00,77.3,5.7,6.4
Male,Bachelor,Yes,No,Poor,2-4,76-86,2-4,5-8,1,59.6,3.00,80,3.1,6.6
Male,None,Yes,No,Good,0-2,76-86,2-4,5-8,1,48.3,2.00,77,2.4,6
Male,"High School",Yes,No,Good,"> 4",76-86,0-2,5-8,1,50.1,5.00,81.5,0,6.7
Female,None,No,No,Fair,0-2,"> 86",4-6,5-8,1,74.9,1.00,92.7,4.8,6.4
Male,Bachelor,Yes,Yes,Good,"> 4",66-76,4-6,5-8,1,85.6,6.00,74.5,4.6,5.4
Female,Bachelor,Yes,No,Poor,0-2,66-76,2-4,5-8,1,82.4,2.00,68,3.6,6.3
Male,Bachelor,No,No,Poor,2-4,76-86,0-2,5-8,1,34.3,4.00,81.7,1.2,6.5
Male,"High School",No,Yes,Good,2-4,0-66,0-2,5-8,1,58.2,3.00,63,1.6,8
Female,"High School",No,No,Good,0-2,0-66,2-4,5-8,1,73.7,2.00,65,3.9,5.1
Male,"High School",No,Yes,Poor,2-4,76-86,0-2,5-8,1,60.3,3.00,85.3,1.5,5.6
Female,Bachelor,Yes,No,Poor,0-2,"> 86",4-6,"> 8",1,78.7,0.00,91.1,4.2,9.8
Male,None,Yes,Yes,Fair,2-4,"> 86",2-4,5-8,1,68.3,4.00,88.8,3.4,5.3
Male,"High School",No,No,Fair,2-4,"> 86",0-2,0-5,1,49.9,3.00,86.7,1.1,4.9
Female,Bachelor,Yes,No,Fair,0-2,"> 86",4-6,5-8,1,100,2.00,96.6,5.2,7.4
Female,None,Yes,No,Good,2-4,76-86,2-4,0-5,1,54.7,4.00,79.6,2.4,4
Female,Master,No,Yes,Fair,2-4,66-76,2-4,"> 8",1,70.8,4.00,68.7,3.8,9.1
Female,None,Yes,No,Good,2-4,66-76,4-6,0-5,1,87.1,3.00,76,5.2,4.6
Female,"High School",Yes,No,Fair,2-4,66-76,0-2,0-5,1,29.5,3.00,66.9,2,4.1
Female,"High School",No,No,Good,0-2,76-86,2-4,0-5,2,45.05,0.50,79.45,3.15,4.35
Male,Bachelor,No,Yes,Fair,0-2,76-86,4-6,5-8,1,73,1.00,84.5,4.1,7.6
Female,Bachelor,No,Yes,Fair,"> 4",66-76,2-4,5-8,1,75.1,5.00,75.7,2.9,7.3
Female,"High School",No,No,Good,0-2,76-86,2-4,"> 8",2,52.7,0.50,83.95,3.15,8.25
Male,Bachelor,No,No,Fair,0-2,66-76,2-4,"> 8",1,67.6,2.00,70,3.6,8.6
Male,Bachelor,Yes,No,Poor,0-2,"> 86",0-2,5-8,1,35.7,0.00,98.6,1.9,6.2
Female,Bachelor,No,No,Poor,2-4,76-86,0-2,0-5,1,29.9,4.00,82,0,3.7
Other,Master,No,No,Fair,0-2,76-86,4-6,5-8,1,70.7,0.00,80.1,4.2,5.5
Male,"High School",No,No,Fair,2-4,66-76,0-2,5-8,1,26.2,3.00,72.6,0,6.2
Male,"High School",Yes,No,Good,"> 4",66-76,0-2,5-8,1,58.3,6.00,73.7,2,6.3
Male,"High School",Yes,No,Good,2-4,66-76,4-6,5-8,1,78.4,4.00,74,4.4,7.8
Female,None,No,No,Good,0-2,76-86,"> 6",5-8,1,100,1.00,84.3,6.6,8
Male,Master,Yes,No,Fair,0-2,"> 86",2-4,5-8,1,66.8,2.00,89.3,3.5,6.3
Female,"High School",No,No,Good,"> 4","> 86",2-4,5-8,1,63.8,6.00,92.4,2.4,7.8
Female,Bachelor,No,No,Fair,2-4,0-66,4-6,5-8,1,82.7,4.00,62.5,5.6,6.6
Female,Master,No,Yes,Fair,2-4,76-86,2-4,5-8,1,66.8,3.00,79.4,2.3,6.6
Male,Master,Yes,No,Poor,2-4,76-86,2-4,"> 8",1,64.9,4.00,79.1,2.8,9
Male,Bachelor,No,No,Good,2-4,76-86,2-4,0-5,1,63.1,3.00,78.8,2.1,4.8
Male,"High School",No,Yes,Fair,0-2,66-76,2-4,5-8,2,61.45,0.50,72.1,3.7,5.85
Female,"High School",Yes,No,Good,"> 4","> 86",2-4,5-8,2,87.2,6.00,89.75,3.5,7.35
Female,"High School",Yes,No,Fair,"> 4",76-86,2-4,5-8,1,74,6.00,85.2,3.1,8
Female,Master,No,No,Poor,2-4,66-76,0-2,0-5,1,58.6,4.00,69.9,1.2,4.8
Male,Bachelor,No,Yes,Good,2-4,66-76,4-6,5-8,1,89.3,4.00,71.7,4.8,7.5
Female,Master,No,No,Poor,0-2,0-66,2-4,5-8,1,63.4,1.00,63.2,3.4,7.4
Male,Bachelor,No,Yes,Fair,"> 4",76-86,2-4,0-5,1,46.7,5.00,78,3.2,4.2
Male,"High School",No,Yes,Fair,"> 4","> 86","> 6",5-8,1,100,5.00,86.6,8.3,6.5
Female,Master,No,Yes,Good,"> 4",76-86,2-4,0-5,1,68.7,5.00,86,3.9,4.6
Male,"High School",No,No,Good,2-4,"> 86",2-4,5-8,3,63.77,3.33,92.83,2.57,6.37
Male,Master,No,No,Good,"> 4",66-76,2-4,5-8,2,61.45,5.50,71.45,2.65,6.45
Female,"High School",No,Yes,Poor,0-2,"> 86",4-6,5-8,1,77.9,2.00,93,5.2,7.5
Male,"High School",No,Yes,Fair,"> 4","> 86",2-4,5-8,1,72.3,6.00,87.4,3.7,6.6
Female,Master,No,No,Fair,"> 4","> 86",0-2,0-5,1,49.7,6.00,92.3,1.3,5
Male,Bachelor,No,Yes,Poor,2-4,66-76,4-6,5-8,1,80.9,3.00,66.1,4.9,7.6
Male,Master,No,Yes,Fair,0-2,"> 86",2-4,0-5,1,44.5,1.00,88.1,2.5,4.8
Male,Master,No,Yes,Fair,0-2,66-76,"> 6",5-8,1,85.3,2.00,73.1,6.3,6.9
Male,None,No,No,Fair,"> 4",76-86,4-6,5-8,1,83.2,6.00,81,5.1,5.5
Male,"High School",No,No,Fair,"> 4",76-86,4-6,5-8,2,94.7,5.50,83.3,4.9,7.15
Female,Bachelor,Yes,No,Good,0-2,76-86,2-4,5-8,2,66.55,1.00,79.35,3.7,7.1
Male,Bachelor,Yes,No,Fair,0-2,76-86,4-6,"> 8",1,96.1,1.00,85.1,4.8,8.1
Female,Bachelor,No,No,Poor,2-4,76-86,2-4,5-8,1,56.1,3.00,82.9,2.5,6
Male,"High School",No,No,Poor,"> 4","> 86",4-6,5-8,2,82.3,5.50,95,4.55,6.8
Male,Bachelor,No,Yes,Fair,"> 4",76-86,2-4,5-8,1,52.6,6.00,79.7,3,7
Male,Bachelor,Yes,No,Good,"> 4",76-86,2-4,5-8,2,61.45,6.00,79.3,2.95,6.35
Female,Master,Yes,No,Good,"> 4",76-86,2-4,0-5,1,39.9,5.00,77.4,2.1,4.3
Female,"High School",Yes,No,Good,"> 4",76-86,"> 6",5-8,1,97.7,5.00,77.9,6.6,6.9
Female,Bachelor,No,No,Good,"> 4","> 86",0-2,5-8,2,48.15,5.00,93.05,1.8,5.85
Male,None,No,Yes,Good,"> 4",76-86,2-4,0-5,1,55.9,5.00,81.2,3.5,5
Female,Master,No,No,Good,0-2,0-66,4-6,"> 8",1,84.6,0.00,65.2,5.6,8.3
Male,Bachelor,No,No,Fair,2-4,66-76,4-6,5-8,1,76,3.00,73.2,4.2,6.2
Female,Bachelor,Yes,No,Fair,0-2,76-86,0-2,5-8,3,45.33,0.67,84.23,1.57,6.73
Female,None,No,No,Fair,0-2,"> 86",2-4,"> 8",1,69.4,0.00,94.3,3.2,8.1
Male,Bachelor,Yes,No,Fair,"> 4",76-86,4-6,5-8,1,94.6,6.00,84.1,5,6.7
Male,Bachelor,Yes,Yes,Good,2-4,76-86,4-6,5-8,1,93.4,3.00,83.2,5.3,5.8
Female,"High School",Yes,No,Good,2-4,"> 86","> 6",5-8,1,100,3.00,91.6,7.4,7.1
Female,Master,Yes,No,Good,2-4,"> 86",4-6,5-8,1,63.6,3.00,94.6,4.4,5.5
Male,"High School",No,No,Good,0-2,76-86,2-4,"> 8",1,67.8,2.00,77.3,3.8,8.1
Female,Bachelor,No,No,Poor,"> 4",66-76,2-4,5-8,1,73.9,5.00,67.3,3,5.9
Male,"High School",No,No,Fair,2-4,76-86,2-4,5-8,2,70.8,3.00,81.3,3.75,6.65
Male,Master,No,No,Fair,0-2,76-86,2-4,0-5,1,49.9,0.00,78.8,3.1,3.4
Female,"High School",No,No,Good,"> 4","> 86",2-4,0-5,1,73.9,6.00,86.1,3.8,4.7
Male,None,No,No,Fair,0-2,76-86,4-6,0-5,1,80.3,1.00,81.5,5.5,4.9
Male,Bachelor,No,Yes,Poor,0-2,76-86,4-6,5-8,1,83.3,0.00,78.9,5.2,6.1
Male,Bachelor,No,No,Fair,0-2,76-86,4-6,0-5,1,84.5,0.00,84.4,5.5,4.9
Female,None,Yes,No,Poor,2-4,"> 86",0-2,5-8,1,34,3.00,88.4,0.3,7.1
Female,"High School",No,Yes,Fair,0-2,76-86,2-4,5-8,2,59.6,0.50,85.1,2.45,6.35
Female,Bachelor,No,No,Fair,0-2,76-86,4-6,0-5,1,77.9,1.00,79,5.4,4.2
Female,None,Yes,No,Fair,2-4,76-86,2-4,5-8,1,72.9,3.00,78.7,3.5,6.3
Female,Master,No,No,Good,"> 4",76-86,0-2,0-5,1,53.2,6.00,76.5,2,4.8
Female,None,No,No,Fair,0-2,76-86,2-4,5-8,1,57.3,1.00,79.6,2.7,7.6
Male,Bachelor,Yes,No,Fair,2-4,"> 86",4-6,5-8,1,76.6,4.00,92.6,4.8,7.4
Female,"High School",No,No,Poor,"> 4",76-86,4-6,5-8,1,64.6,6.00,82.8,4.3,5.4
Male,Bachelor,Yes,Yes,Good,0-2,66-76,2-4,5-8,1,51.1,0.00,71.5,3.1,5.6
Other,"High School",No,No,Fair,"> 4","> 86",2-4,5-8,1,63,5.00,100,2.9,5.9
Female,None,Yes,No,Good,"> 4","> 86",2-4,0-5,1,61.6,5.00,88.2,2.9,3.8
Male,"High School",No,Yes,Good,2-4,66-76,2-4,5-8,2,53.2,3.00,69.1,2.65,6.1
Female,"High School",Yes,No,Fair,"> 4",76-86,4-6,5-8,1,87.1,5.00,80.6,5.9,6.2
Male,Bachelor,Yes,No,Good,2-4,"> 86",4-6,5-8,1,80.9,3.00,100,5.3,5.2
Female,Bachelor,No,No,Fair,"> 4",66-76,4-6,5-8,1,100,6.00,73.9,5.8,5.8
Female,Bachelor,No,No,Poor,0-2,"> 86",4-6,0-5,1,79.6,0.00,94.8,5,4.7
Male,Bachelor,No,Yes,Good,0-2,"> 86",2-4,5-8,1,71.2,2.00,99,2.9,5.3
Female,"High School",Yes,No,Fair,0-2,66-76,2-4,5-8,1,44.1,0.00,74.6,2.1,5.7
Other,"High School",No,No,Good,"> 4",76-86,2-4,5-8,1,61.7,5.00,83,4,6.6
Female,Bachelor,Yes,No,Good,0-2,76-86,0-2,5-8,1,39.9,0.00,84.6,1.7,6
Male,"High School",No,No,Good,2-4,"> 86",4-6,0-5,1,84.1,4.00,91.6,5.3,5
Female,None,No,No,Fair,0-2,"> 86",2-4,5-8,1,40.7,2.00,95.9,2.8,6.3
Male,"High School",Yes,No,Fair,"> 4",0-66,2-4,5-8,1,77,6.00,65.3,3.9,5.1
Male,Master,Yes,No,Good,0-2,"> 86",4-6,5-8,1,80.9,2.00,87.9,4.4,5.5
Female,None,Yes,No,Good,0-2,"> 86",2-4,5-8,1,47.4,0.00,87.5,2.8,5.9
Male,"High School",Yes,Yes,Fair,"> 4",76-86,4-6,5-8,2,83.7,5.00,81.95,4.65,6.7
Female,"High School",No,Yes,Fair,0-2,"> 86","> 6",5-8,1,85,0.00,88.8,6.4,6.1
Male,Bachelor,Yes,No,Good,0-2,76-86,0-2,5-8,1,40.4,1.00,81.3,2,6.7
Female,Bachelor,No,Yes,Good,"> 4",76-86,2-4,0-5,1,58.9,5.00,80,2.5,3.6
Male,None,Yes,No,Good,2-4,"> 86",2-4,5-8,2,82.2,3.50,97.6,3.6,6.3
Female,Bachelor,Yes,No,Good,2-4,76-86,2-4,5-8,1,74.7,3.00,83.2,4,7.7
Male,Bachelor,No,No,Good,0-2,76-86,4-6,5-8,2,78.75,1.50,78.75,4.3,6.55
Female,Master,Yes,No,Fair,"> 4","> 86",2-4,0-5,1,54.1,5.00,89.5,3.1,4.1
Male,Master,Yes,Yes,Good,0-2,76-86,4-6,5-8,1,62.9,2.00,85.8,4.5,5.4
Male,"High School",No,No,Fair,"> 4",76-86,"> 6",5-8,1,95.6,6.00,85.4,6.3,6.1
Female,"High School",No,No,Poor,"> 4",0-66,2-4,5-8,1,67.1,6.00,61.2,3.3,7.3
Male,Bachelor,No,No,Good,2-4,"> 86",0-2,"> 8",1,51.5,4.00,92.5,2,9.5
Female,"High School",No,Yes,Good,"> 4","> 86",4-6,5-8,1,97.9,5.00,86.3,5.2,6.2
Female,"High School",No,Yes,Poor,0-2,"> 86",2-4,0-5,1,67,1.00,89.3,3.3,4.8
Female,Master,Yes,Yes,Good,"> 4",76-86,0-2,5-8,1,31.5,5.00,77.9,0.2,7
Female,"High School",No,No,Good,"> 4",76-86,4-6,"> 8",1,88,5.00,81.2,4.8,8.1
Other,None,No,No,Fair,0-2,76-86,2-4,5-8,1,53.4,0.00,80.9,2.7,6.6
Male,Bachelor,Yes,No,Poor,0-2,"> 86",2-4,5-8,2,72.65,1.00,93.85,3.55,7.05
Male,"High School",Yes,No,Fair,0-2,"> 86",4-6,5-8,1,60.1,0.00,89.3,4.6,5.3
Female,"High School",No,No,Fair,"> 4",66-76,2-4,5-8,1,70.3,6.00,72.2,2.8,7
Female,"High School",No,Yes,Fair,2-4,76-86,4-6,5-8,1,79.8,3.00,83.7,4.3,7.7
Other,Bachelor,Yes,No,Good,0-2,76-86,2-4,5-8,1,66.6,0.00,78.5,3.1,7.9
Female,None,No,No,Good,2-4,0-66,4-6,5-8,1,91.7,3.00,63.1,4.6,6.4
Male,Master,No,Yes,Fair,2-4,"> 86",4-6,5-8,1,70.1,3.00,100,4.4,6.1
Female,Master,No,No,Poor,0-2,"> 86",4-6,0-5,1,79.3,0.00,90.3,5.1,5
Male,"High School",Yes,No,Poor,"> 4","> 86",2-4,5-8,1,63.9,5.00,86.7,2.7,7
Male,Bachelor,Yes,No,Good,2-4,66-76,4-6,0-5,1,93.1,3.00,71.2,4.7,4.9
Male,"High School",Yes,No,Poor,"> 4",76-86,4-6,5-8,2,89.55,5.00,79.4,4.6,7.4
Male,None,Yes,No,Fair,"> 4","> 86","> 6",5-8,1,100,6.00,93.4,6.3,6.2
Male,Master,Yes,No,Good,"> 4",66-76,2-4,5-8,1,61.8,6.00,74.5,3.2,8
Male,Master,Yes,No,Fair,0-2,0-66,2-4,5-8,1,51.5,1.00,59.7,3,7.1
Male,"High School",No,No,Good,2-4,76-86,2-4,0-5,1,60.4,4.00,82.7,3.5,5
Male,Bachelor,No,No,Fair,"> 4",76-86,2-4,"> 8",1,67.2,5.00,83.6,3,8.2
Other,Bachelor,No,No,Poor,"> 4","> 86",4-6,"> 8",1,89.6,6.00,86.4,4.7,8.4
Male,Master,Yes,No,Fair,2-4,"> 86",0-2,5-8,1,48.3,4.00,92.3,1.1,7.6
Female,Bachelor,Yes,Yes,Fair,2-4,"> 86",0-2,5-8,1,44.4,4.00,87.6,1.9,6.1
Male,"High School",No,Yes,Fair,2-4,"> 86",4-6,5-8,1,77.2,4.00,97,4.9,6.7
Female,"High School",Yes,Yes,Good,2-4,66-76,"> 6",5-8,1,100,3.00,69.8,6.1,5.7
Female,Master,No,No,Good,"> 4","> 86",2-4,"> 8",1,73,5.00,90,3.3,8.5
Male,"High School",No,No,Fair,2-4,"> 86",2-4,5-8,1,68.5,3.00,91.3,3.2,6.7
Male,"High School",No,No,Fair,0-2,66-76,2-4,0-5,1,61,1.00,72.6,3.6,3.3
Female,Bachelor,Yes,No,Fair,0-2,66-76,4-6,5-8,1,70.5,2.00,70,5.2,6.9
Female,Bachelor,No,No,Good,0-2,76-86,2-4,5-8,1,52.5,0.00,77.5,2.1,6.1
Male,"High School",No,No,Good,2-4,76-86,2-4,5-8,1,62.8,3.00,78.4,3.9,6.4
